stusps,state,hud_area_code,countyname,county_town_name,metro,hud_area_name,fips,pop2022,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
AL,1,METRO33860M33860,Autauga County,,1,"Montgomery, AL MSA",10019,58760,848,888,1055,1345,1665
AL,1,METRO19300M19300,Baldwin County,,1,"Daphne-Fairhope-Foley, AL MSA",10039,233420,972,1043,1244,1550,1975
AL,1,NCNTY01005N01005,Barbour County,,0,"Barbour County, AL",10059,24875,587,648,772,996,1027
AL,1,METRO13820M13820,Bibb County,,1,"Birmingham-Hoover, AL HUD Metro FMR Area",10079,22250,998,1144,1267,1583,1791
AL,1,METRO13820M13820,Blount County,,1,"Birmingham-Hoover, AL HUD Metro FMR Area",10099,59075,998,1144,1267,1583,1791
AL,1,NCNTY01011N01011,Bullock County,,0,"Bullock County, AL",10119,10330,578,688,772,1017,1155
AL,1,NCNTY01013N01013,Butler County,,0,"Butler County, AL",10139,18980,600,684,809,975,1089
AL,1,METRO11500M11500,Calhoun County,,1,"Anniston-Oxford-Jacksonville, AL MSA",10159,116160,725,730,941,1295,1394
AL,1,NCNTY01017N01017,Chambers County,,0,"Chambers County, AL",10179,34610,733,760,997,1226,1322
AL,1,NCNTY01019N01019,Cherokee County,,0,"Cherokee County, AL",10199,25070,598,663,805,970,1211
AL,1,METRO13820N01021,Chilton County,,1,"Chilton County, AL HUD Metro FMR Area",10219,45140,678,682,881,1203,1208
AL,1,NCNTY01023N01023,Choctaw County,,0,"Choctaw County, AL",10239,12670,578,600,772,1007,1309
AL,1,NCNTY01025N01025,Clarke County,,0,"Clarke County, AL",10259,23060,578,600,772,1080,1309
AL,1,NCNTY01027N01027,Clay County,,0,"Clay County, AL",10279,14210,565,630,772,1058,1133
AL,1,NCNTY01029N01029,Cleburne County,,0,"Cleburne County, AL",10299,15145,614,631,828,1039,1245
AL,1,NCNTY01031N01031,Coffee County,,0,"Coffee County, AL",10319,53560,642,653,857,1208,1325
AL,1,METRO22520M22520,Colbert County,,1,"Florence-Muscle Shoals, AL MSA",10339,57270,674,743,974,1196,1421
AL,1,NCNTY01035N01035,Conecuh County,,0,"Conecuh County, AL",10359,11575,578,600,772,1088,1155
AL,1,NCNTY01037N01037,Coosa County,,0,"Coosa County, AL",10379,10330,593,615,792,957,1184
AL,1,NCNTY01039N01039,Covington County,,0,"Covington County, AL",10399,37540,584,587,772,1020,1285
AL,1,NCNTY01041N01041,Crenshaw County,,0,"Crenshaw County, AL",10419,13205,578,587,772,933,1027
AL,1,NCNTY01043N01043,Cullman County,,0,"Cullman County, AL",10439,88285,691,695,902,1176,1340
AL,1,NCNTY01045N01045,Dale County,,0,"Dale County, AL",10459,49455,669,679,772,1088,1309
AL,1,NCNTY01047N01047,Dallas County,,0,"Dallas County, AL",10479,38325,589,625,821,1065,1094
AL,1,NCNTY01049N01049,DeKalb County,,0,"DeKalb County, AL",10499,71680,578,587,772,1044,1280
AL,1,METRO33860M33860,Elmore County,,1,"Montgomery, AL MSA",10519,87695,848,888,1055,1345,1665
AL,1,NCNTY01053N01053,Escambia County,,0,"Escambia County, AL",10539,36755,578,643,772,985,1148
AL,1,METRO23460M23460,Etowah County,,1,"Gadsden, AL MSA",10559,103350,646,810,942,1139,1255
AL,1,NCNTY01057N01057,Fayette County,,0,"Fayette County, AL",10579,16295,578,687,772,1068,1155
AL,1,NCNTY01059N01059,Franklin County,,0,"Franklin County, AL",10599,32010,578,688,772,971,1189
AL,1,METRO20020M20020,Geneva County,,1,"Dothan, AL HUD Metro FMR Area",10619,26645,718,722,896,1223,1384
AL,1,METRO46220M01063,Greene County,,1,"Greene County, AL HUD Metro FMR Area",10639,7705,813,819,1074,1294,1424
AL,1,METRO46220M46220,Hale County,,1,"Tuscaloosa, AL HUD Metro FMR Area",10659,14740,916,922,1138,1450,1509
AL,1,METRO20020N01067,Henry County,,1,"Henry County, AL HUD Metro FMR Area",10679,17280,593,597,783,1048,1124
AL,1,METRO20020M20020,Houston County,,1,"Dothan, AL HUD Metro FMR Area",10699,107040,718,722,896,1223,1384
AL,1,NCNTY01071N01071,Jackson County,,0,"Jackson County, AL",10719,52620,578,674,772,952,1266
AL,1,METRO13820M13820,Jefferson County,,1,"Birmingham-Hoover, AL HUD Metro FMR Area",10739,672265,998,1144,1267,1583,1791
AL,1,NCNTY01075N01075,Lamar County,,0,"Lamar County, AL",10759,13885,645,648,772,1088,1155
AL,1,METRO22520M22520,Lauderdale County,,1,"Florence-Muscle Shoals, AL MSA",10779,94330,674,743,974,1196,1421
AL,1,METRO19460M19460,Lawrence County,,1,"Decatur, AL MSA",10799,33115,726,756,923,1214,1456
AL,1,METRO12220M12220,Lee County,,1,"Auburn-Opelika, AL MSA",10819,175125,844,1009,1168,1527,1632
AL,1,METRO26620M26620,Limestone County,,1,"Huntsville, AL MSA",10839,104200,928,1071,1248,1609,1964
AL,1,METRO33860M33860,Lowndes County,,1,"Montgomery, AL MSA",10859,10155,848,888,1055,1345,1665
AL,1,NCNTY01087N01087,Macon County,,0,"Macon County, AL",10879,19200,605,617,810,999,1372
AL,1,METRO26620M26620,Madison County,,1,"Huntsville, AL MSA",10899,389780,928,1071,1248,1609,1964
AL,1,NCNTY01091N01091,Marengo County,,0,"Marengo County, AL",10919,19180,578,688,772,990,1185
AL,1,NCNTY01093N01093,Marion County,,0,"Marion County, AL",10939,29205,523,587,772,982,1309
AL,1,NCNTY01095N01095,Marshall County,,0,"Marshall County, AL",10959,97925,590,594,780,1050,1053
