"State","County","Median Housing Value, 2023 ($)","Median Property Taxes Paid, 2023 ($)(5-Year Estimate)","Effective Property Tax Rate (2023)"
"Alabama","Autauga County","197900","564","0.2850%"
"Alabama","Baldwin County","287000","881","0.3070%"
"Alabama","Barbour County","109900","415","0.3776%"
"Alabama","Bibb County","132600","271","0.2044%"
"Alabama","Blount County","169700","508","0.2994%"
"Alabama","Bullock County","79400","309","0.3892%"
"Alabama","Butler County","99700","342","0.3430%"
"Alabama","Calhoun County","149500","610","0.4080%"
"Alabama","Chambers County","129700","496","0.3824%"
"Alabama","Cherokee County","165900","643","0.3876%"
"Alabama","Chilton County","142300","478","0.3359%"
"Alabama","Choctaw County","111800","199","0.1780%"
"Alabama","Clarke County","126400","388","0.3070%"
"Alabama","Clay County","144700","326","0.2253%"
"Alabama","Cleburne County","144200","417","0.2892%"
"Alabama","Coffee County","180300","615","0.3411%"
"Alabama","Colbert County","161600","604","0.3738%"
"Alabama","Conecuh County","101300","328","0.3238%"
"Alabama","Coosa County","111800","303","0.2710%"
"Alabama","Covington County","142500","358","0.2512%"
"Alabama","Crenshaw County","108400","347","0.3201%"
"Alabama","Cullman County","180500","457","0.2532%"
"Alabama","Dale County","129100","426","0.3300%"
"Alabama","Dallas County","97400","413","0.4240%"
"Alabama","DeKalb County","135500","458","0.3380%"
"Alabama","Elmore County","213600","563","0.2636%"
"Alabama","Escambia County","122700","485","0.3953%"
"Alabama","Etowah County","160600","585","0.3643%"
"Alabama","Fayette County","121200","347","0.2863%"
"Alabama","Franklin County","128000","432","0.3375%"
"Alabama","Geneva County","120200","382","0.3178%"
"Alabama","Greene County","86400","422","0.4884%"
"Alabama","Hale County","126300","406","0.3215%"
"Alabama","Henry County","147800","506","0.3424%"
"Alabama","Houston County","178000","534","0.3000%"
"Alabama","Jackson County","145800","449","0.3080%"
"Alabama","Jefferson County","224900","1,340","0.5958%"
"Alabama","Lamar County","112700","245","0.2174%"
"Alabama","Lauderdale County","185800","697","0.3751%"
"Alabama","Lawrence County","150700","459","0.3046%"
"Alabama","Lee County","238700","1,183","0.4956%"
"Alabama","Limestone County","255100","782","0.3065%"
"Alabama","Lowndes County","80600","329","0.4082%"
"Alabama","Macon County","95700","468","0.4890%"
"Alabama","Madison County","267800","1,081","0.4037%"
"Alabama","Marengo County","103400","397","0.3839%"
"Alabama","Marion County","104300","308","0.2953%"
"Alabama","Marshall County","183400","699","0.3811%"
"Alabama","Mobile County","176600","849","0.4807%"
"Alabama","Monroe County","114900","362","0.3151%"
"Alabama","Montgomery County","160100","598","0.3735%"
"Alabama","Morgan County","193000","674","0.3492%"
"Alabama","Perry County","87700","325","0.3706%"
"Alabama","Pickens County","123300","356","0.2887%"
"Alabama","Pike County","149000","403","0.2705%"
"Alabama","Randolph County","184000","412","0.2239%"
"Alabama","Russell County","152300","631","0.4143%"
"Alabama","St. Clair County","218500","666","0.3048%"
"Alabama","Shelby County","298700","1,343","0.4496%"
"Alabama","Sumter County","84100","297","0.3532%"
"Alabama","Talladega County","137900","509","0.3691%"
"Alabama","Tallapoosa County","144800","450","0.3108%"
"Alabama","Tuscaloosa County","233700","754","0.3226%"
"Alabama","Walker County","131100","357","0.2723%"
"Alabama","Washington County","152800","357","0.2336%"
"Alabama","Wilcox County","84200","309","0.3670%"
"Alabama","Winston County","110500","363","0.3285%"
"Alaska","Aleutians East Borough","144300","",""
