zip,county_fips,zip_residential_share_in_county,state_usps,state_name,county_name,county_town_name,metro,hud_area_code,hud_area_name,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
00501,36103,0.0,NY,36.0,Suffolk County,,1.0,METRO35620MM5380,"Nassau-Suffolk, NY HUD Metro FMR Area",1848.0,2241.0,2586.0,3352.0,3591.0
00601,72001,0.9974511469838572,PR,72.0,Adjuntas Municipio,,1.0,METRO38660M38660,"Ponce, PR MSA",512.0,532.0,589.0,825.0,894.0
00602,72003,0.999413833528722,PR,72.0,Aguada Municipio,,1.0,METRO10380M10380,"Aguadilla-Isabela, PR MSA",487.0,490.0,560.0,681.0,758.0
00603,72005,0.9984830425831618,PR,72.0,Aguadilla Municipio,,1.0,METRO10380M10380,"Aguadilla-Isabela, PR MSA",487.0,490.0,560.0,681.0,758.0
00604,72005,1.0,PR,72.0,Aguadilla Municipio,,1.0,METRO10380M10380,"Aguadilla-Isabela, PR MSA",487.0,490.0,560.0,681.0,758.0
00605,72005,1.0,PR,72.0,Aguadilla Municipio,,1.0,METRO10380M10380,"Aguadilla-Isabela, PR MSA",487.0,490.0,560.0,681.0,758.0
00606,72093,1.0,PR,72.0,Maricao Municipio,,0.0,NCNTY72923N72923,Puerto Rico HUD Nonmetro Area,413.0,429.0,475.0,666.0,733.0
00610,72011,1.0,PR,72.0,Añasco Municipio,,1.0,METRO10380M10380,"Aguadilla-Isabela, PR MSA",487.0,490.0,560.0,681.0,758.0
00611,72141,1.0,PR,72.0,Utuado Municipio,,1.0,METRO10380M10380,"Aguadilla-Isabela, PR MSA",487.0,490.0,560.0,681.0,758.0
00612,72013,0.990326786390209,PR,72.0,Arecibo Municipio,,1.0,METRO11640M11640,"Arecibo, PR MSA",462.0,465.0,531.0,731.0,809.0
00613,72013,1.0,PR,72.0,Arecibo Municipio,,1.0,METRO11640M11640,"Arecibo, PR MSA",462.0,465.0,531.0,731.0,809.0
00614,72013,1.0,PR,72.0,Arecibo Municipio,,1.0,METRO11640M11640,"Arecibo, PR MSA",462.0,465.0,531.0,731.0,809.0
00616,72013,1.0,PR,72.0,Arecibo Municipio,,1.0,METRO11640M11640,"Arecibo, PR MSA",462.0,465.0,531.0,731.0,809.0
00617,72017,0.9989979047098478,PR,72.0,Barceloneta Municipio,,1.0,METRO41980MM7440,"San Juan-Guaynabo, PR HUD Metro FMR Area",552.0,569.0,656.0,861.0,1033.0
00622,72023,1.0,PR,72.0,Cabo Rojo Municipio,,1.0,METRO41900M41900,"San German, PR MSA",430.0,433.0,539.0,684.0,718.0
00623,72023,0.998666243251826,PR,72.0,Cabo Rojo Municipio,,1.0,METRO41900M41900,"San German, PR MSA",430.0,433.0,539.0,684.0,718.0
00624,72111,0.9989417989417988,PR,72.0,Peñuelas Municipio,,1.0,METRO49500M49500,"Yauco, PR MSA",433.0,450.0,498.0,658.0,660.0
00627,72027,1.0,PR,72.0,Camuy Municipio,,1.0,METRO11640M11640,"Arecibo, PR MSA",462.0,465.0,531.0,731.0,809.0
00631,72081,0.0,PR,72.0,Lares Municipio,,1.0,METRO10380M10380,"Aguadilla-Isabela, PR MSA",487.0,490.0,560.0,681.0,758.0
00637,72121,1.0,PR,72.0,Sabana Grande Municipio,,1.0,METRO41900M41900,"San German, PR MSA",430.0,433.0,539.0,684.0,718.0
00638,72039,0.6774143302180686,PR,72.0,Ciales Municipio,,1.0,METRO41980N72923,"Barranquitas-Aibonito, PR HUD Metro FMR Area",428.0,428.0,493.0,599.0,701.0
00641,72141,0.996069340858698,PR,72.0,Utuado Municipio,,1.0,METRO10380M10380,"Aguadilla-Isabela, PR MSA",487.0,490.0,560.0,681.0,758.0
00646,72051,0.9952446998216764,PR,72.0,Dorado Municipio,,1.0,METRO41980MM7440,"San Juan-Guaynabo, PR HUD Metro FMR Area",552.0,569.0,656.0,861.0,1033.0
00647,72055,0.995995423340961,PR,72.0,Guánica Municipio,,1.0,METRO49500M49500,"Yauco, PR MSA",433.0,450.0,498.0,658.0,660.0
00650,72054,0.998920474991004,PR,72.0,Florida Municipio,,1.0,METRO41980MM7440,"San Juan-Guaynabo, PR HUD Metro FMR Area",552.0,569.0,656.0,861.0,1033.0
00652,72013,1.0,PR,72.0,Arecibo Municipio,,1.0,METRO11640M11640,"Arecibo, PR MSA",462.0,465.0,531.0,731.0,809.0
00653,72055,0.9966476701307408,PR,72.0,Guánica Municipio,,1.0,METRO49500M49500,"Yauco, PR MSA",433.0,450.0,498.0,658.0,660.0
00656,72059,1.0,PR,72.0,Guayanilla Municipio,,1.0,METRO49500M49500,"Yauco, PR MSA",433.0,450.0,498.0,658.0,660.0
