area_name,fips,state,studio_rent,one_bed_rent,two_bed_rent,three_bed_rent,four_bed_rent,private_studio_rent,private_one_bed_rent,private_two_bed_rent,private_three_bed_rent,private_four_bed_rent
"Barbour County, AL",100599999,1.0,477,481,633,789,925,524.7,553.15,746.9399999999999,946.8,1128.5
"Bullock County, AL",101199999,1.0,474,484,612,809,878,521.4000000000001,556.5999999999999,722.16,970.8,1071.16
"Butler County, AL",101399999,1.0,474,521,612,782,993,521.4000000000001,599.15,722.16,938.4,1211.46
"Chambers County, AL",101799999,1.0,486,593,683,887,977,534.6,681.9499999999999,805.9399999999999,1064.3999999999999,1191.94
"Cherokee County, AL",101999999,1.0,462,465,612,826,829,508.20000000000005,534.75,722.16,991.1999999999999,1011.38
"Chilton County, AL HUD Metro FMR Area",102199999,1.0,594,627,714,1030,1122,653.4000000000001,721.05,842.52,1236.0,1368.84
"Choctaw County, AL",102399999,1.0,466,469,618,770,844,512.6,539.3499999999999,729.24,924.0,1029.68
"Clarke County, AL",102599999,1.0,474,507,612,883,980,521.4000000000001,583.05,722.16,1059.6,1195.6
"Clay County, AL",102799999,1.0,482,538,612,882,1075,530.2,618.6999999999999,722.16,1058.3999999999999,1311.5
"Cleburne County, AL",102999999,1.0,462,465,612,863,1075,508.20000000000005,534.75,722.16,1035.6,1311.5
"Coffee County, AL",103199999,1.0,515,541,665,959,1168,566.5,622.15,784.6999999999999,1150.8,1424.96
"Conecuh County, AL",103599999,1.0,474,510,612,874,878,521.4000000000001,586.5,722.16,1048.8,1071.16
"Coosa County, AL",103799999,1.0,499,503,662,825,949,548.9000000000001,578.4499999999999,781.16,990.0,1157.78
"Covington County, AL",103999999,1.0,474,489,612,818,1019,521.4000000000001,562.3499999999999,722.16,981.5999999999999,1243.18
"Crenshaw County, AL",104199999,1.0,462,465,612,763,904,508.20000000000005,534.75,722.16,915.6,1102.8799999999999
"Cullman County, AL",104399999,1.0,469,525,645,871,874,515.9000000000001,603.75,761.0999999999999,1045.2,1066.28
"Dale County, AL",104599999,1.0,498,501,612,829,1075,547.8000000000001,576.15,722.16,994.8,1311.5
"Dallas County, AL",104799999,1.0,489,503,618,783,837,537.9000000000001,578.4499999999999,729.24,939.5999999999999,1021.14
"DeKalb County, AL",104999999,1.0,462,465,612,818,884,508.20000000000005,534.75,722.16,981.5999999999999,1078.48
"Escambia County, AL",105399999,1.0,474,538,612,815,903,521.4000000000001,618.6999999999999,722.16,978.0,1101.66
"Fayette County, AL",105799999,1.0,474,538,612,789,878,521.4000000000001,618.6999999999999,722.16,946.8,1071.16
"Franklin County, AL",105999999,1.0,474,524,612,775,829,521.4000000000001,602.5999999999999,722.16,930.0,1011.38
"Greene County, AL",106399999,1.0,474,538,612,815,837,521.4000000000001,618.6999999999999,722.16,978.0,1021.14
"Henry County, AL HUD Metro FMR Area",106799999,1.0,479,520,612,815,1075,526.9000000000001,598.0,722.16,978.0,1311.5
"Jackson County, AL",107199999,1.0,422,550,647,806,876,464.20000000000005,632.5,763.4599999999999,967.1999999999999,1068.72
"Lamar County, AL",107599999,1.0,474,538,612,875,878,521.4000000000001,618.6999999999999,722.16,1050.0,1071.16
"Macon County, AL",108799999,1.0,480,484,637,794,1115,528.0,556.5999999999999,751.66,952.8,1360.3
"Marengo County, AL",109199999,1.0,474,538,612,883,1075,521.4000000000001,618.6999999999999,722.16,1059.6,1311.5
"Marion County, AL",109399999,1.0,462,465,612,820,1027,508.20000000000005,534.75,722.16,984.0,1252.94
"Marshall County, AL",109599999,1.0,478,481,633,854,858,525.8000000000001,553.15,746.9399999999999,1024.8,1046.76
"Monroe County, AL",109999999,1.0,474,538,612,763,876,521.4000000000001,618.6999999999999,722.16,915.6,1068.72
"Perry County, AL",110599999,1.0,522,538,612,778,892,574.2,618.6999999999999,722.16,933.5999999999999,1088.24
"Pickens County, AL HUD Metro FMR Area",110799999,1.0,486,489,612,826,829,534.6,562.3499999999999,722.16,991.1999999999999,1011.38
"Pike County, AL",110999999,1.0,455,546,622,843,892,500.50000000000006,627.9,733.9599999999999,1011.5999999999999,1088.24
"Randolph County, AL",111199999,1.0,474,537,612,838,841,521.4000000000001,617.55,722.16,1005.5999999999999,1026.02
"Sumter County, AL",111999999,1.0,557,561,739,921,1001,612.7,645.15,872.02,1105.2,1221.22
"Talladega County, AL",112199999,1.0,486,489,644,829,911,534.6,562.3499999999999,759.92,994.8,1111.42
"Tallapoosa County, AL",112399999,1.0,507,517,612,872,1031,557.7,594.55,722.16,1046.3999999999999,1257.82
"Walker County, AL HUD Metro FMR Area",112799999,1.0,566,570,751,936,1044,622.6,655.5,886.18,1123.2,1273.68
"Washington County, AL",112999999,1.0,478,489,618,794,837,525.8000000000001,562.3499999999999,729.24,952.8,1021.14
"Wilcox County, AL",113199999,1.0,474,538,612,874,878,521.4000000000001,618.6999999999999,722.16,1048.8,1071.16
"Winston County, AL",113399999,1.0,462,465,612,883,898,508.20000000000005,534.75,722.16,1059.6,1095.56
"Apache County, AZ",400199999,4.0,502,589,723,980,1117,552.2,677.3499999999999,853.14,1176.0,1362.74
"Gila County, AZ",400799999,4.0,697,700,922,1244,1249,766.7,804.9999999999999,1087.96,1492.8,1523.78
"Graham County, AZ",400999999,4.0,590,727,853,1231,1362,649.0,836.05,1006.54,1477.2,1661.6399999999999
"Greenlee County, AZ",401199999,4.0,494,627,714,937,1036,543.4000000000001,721.05,842.52,1124.3999999999999,1263.92
"La Paz County, AZ",401299999,4.0,593,651,857,1162,1212,652.3000000000001,748.65,1011.26,1394.3999999999999,1478.6399999999999
"Navajo County, AZ",401799999,4.0,585,618,802,1087,1162,643.5,710.6999999999999,946.3599999999999,1304.3999999999999,1417.6399999999999
"Santa Cruz County, AZ",402399999,4.0,533,571,752,1015,1019,586.3000000000001,656.65,887.3599999999999,1218.0,1243.18
"Arkansas County, AR",500199999,5.0,468,487,642,847,907,514.8000000000001,560.05,757.56,1016.4,1106.54
"Ashley County, AR",500399999,5.0,459,543,630,853,853,504.90000000000003,624.4499999999999,743.4,1023.5999999999999,1040.66
"Baxter County, AR",500599999,5.0,478,531,699,871,947,525.8000000000001,610.65,824.8199999999999,1045.2,1155.34
"Boone County, AR",500999999,5.0,459,503,630,909,969,504.90000000000003,578.4499999999999,743.4,1090.8,1182.18
"Bradley County, AR",501199999,5.0,459,520,630,801,1074,504.90000000000003,598.0,743.4,961.1999999999999,1310.28
"Calhoun County, AR",501399999,5.0,493,531,677,844,976,542.3000000000001,610.65,798.86,1012.8,1190.72
"Carroll County, AR",501599999,5.0,485,507,638,795,876,533.5,583.05,752.8399999999999,954.0,1068.72
"Chicot County, AR",501799999,5.0,459,553,630,849,960,504.90000000000003,635.9499999999999,743.4,1018.8,1171.2
"Clark County, AR",501999999,5.0,434,518,630,829,988,477.40000000000003,595.6999999999999,743.4,994.8,1205.36
"Clay County, AR",502199999,5.0,459,478,630,807,1106,504.90000000000003,549.6999999999999,743.4,968.4,1349.32
"Cleburne County, AR",502399999,5.0,495,516,680,877,949,544.5,593.4,802.4,1052.3999999999999,1157.78
"Columbia County, AR",502799999,5.0,499,504,630,848,992,548.9000000000001,579.5999999999999,743.4,1017.5999999999999,1210.24
"Conway County, AR",502999999,5.0,436,478,630,820,932,479.6,549.6999999999999,743.4,984.0,1137.04
"Cross County, AR",503799999,5.0,499,520,685,866,1019,548.9000000000001,598.0,808.3,1039.2,1243.18
"Dallas County, AR",503999999,5.0,459,478,630,878,882,504.90000000000003,549.6999999999999,743.4,1053.6,1076.04
"Desha County, AR",504199999,5.0,459,478,630,853,908,504.90000000000003,549.6999999999999,743.4,1023.5999999999999,1107.76
"Drew County, AR",504399999,5.0,459,478,630,841,872,504.90000000000003,549.6999999999999,743.4,1009.1999999999999,1063.84
"Franklin County, AR",504799999,5.0,459,553,630,786,908,504.90000000000003,635.9499999999999,743.4,943.1999999999999,1107.76
"Fulton County, AR",504999999,5.0,459,478,630,887,978,504.90000000000003,549.6999999999999,743.4,1064.3999999999999,1193.16
"Grant County, AR HUD Metro FMR Area",505399999,5.0,566,608,709,884,1006,622.6,699.1999999999999,836.62,1060.8,1227.32
"Greene County, AR",505599999,5.0,505,608,693,976,1147,555.5,699.1999999999999,817.74,1171.2,1399.34
"Hempstead County, AR",505799999,5.0,468,488,643,801,902,514.8000000000001,561.1999999999999,758.74,961.1999999999999,1100.44
"Hot Spring County, AR",505999999,5.0,461,520,633,831,1044,507.1,598.0,746.9399999999999,997.1999999999999,1273.68
"Howard County, AR",506199999,5.0,464,500,630,802,908,510.40000000000003,575.0,743.4,962.4,1107.76
"Independence County, AR",506399999,5.0,485,501,660,822,894,533.5,576.15,778.8,986.4,1090.68
"Izard County, AR",506599999,5.0,433,478,630,811,853,476.3,549.6999999999999,743.4,973.1999999999999,1040.66
"Jackson County, AR",506799999,5.0,453,478,630,785,948,498.30000000000007,549.6999999999999,743.4,942.0,1156.56
"Johnson County, AR",507199999,5.0,454,487,642,817,963,499.40000000000003,560.05,757.56,980.4,1174.86
"Lafayette County, AR",507399999,5.0,459,516,630,835,972,504.90000000000003,593.4,743.4,1002.0,1185.84
"Lawrence County, AR",507599999,5.0,459,485,630,836,993,504.90000000000003,557.75,743.4,1003.1999999999999,1211.46
"Lee County, AR",507799999,5.0,459,482,630,909,1028,504.90000000000003,554.3,743.4,1090.8,1254.16
"Little River County, AR HUD Metro FMR Area",508199999,5.0,475,478,630,892,1106,522.5,549.6999999999999,743.4,1070.3999999999999,1349.32
"Logan County, AR",508399999,5.0,459,525,630,791,853,504.90000000000003,603.75,743.4,949.1999999999999,1040.66
"Marion County, AR",508999999,5.0,422,503,630,785,1074,464.20000000000005,578.4499999999999,743.4,942.0,1310.28
"Mississippi County, AR",509399999,5.0,420,490,645,811,874,462.00000000000006,563.5,761.0999999999999,973.1999999999999,1066.28
"Monroe County, AR",509599999,5.0,459,505,630,843,1026,504.90000000000003,580.75,743.4,1011.5999999999999,1251.72
"Montgomery County, AR",509799999,5.0,491,494,630,854,1106,540.1,568.0999999999999,743.4,1024.8,1349.32
"Nevada County, AR",509999999,5.0,533,556,732,912,1056,586.3000000000001,639.4,863.76,1094.3999999999999,1288.32
"Newton County, AR",510199999,5.0,459,478,630,905,908,504.90000000000003,549.6999999999999,743.4,1086.0,1107.76
"Ouachita County, AR",510399999,5.0,538,541,630,850,853,591.8000000000001,622.15,743.4,1020.0,1040.66
"Phillips County, AR",510799999,5.0,433,478,630,898,1106,476.3,549.6999999999999,743.4,1077.6,1349.32
