County,Median Home Price 2025,Monthly Payment 2025
Autauga County,"$216,110.00","$1,240.00"
Baldwin County,"$333,030.00","$1,910.00"
Barbour County,"$119,220.00",$690.00
Bibb County,"$138,990.00",$800.00
Blount County,"$177,880.00","$1,020.00"
Bullock County,"$86,130.00",$500.00
Butler County,"$108,150.00",$620.00
Calhoun County,"$161,660.00",$930.00
Chambers County,"$140,700.00",$810.00
Cherokee County,"$179,970.00","$1,030.00"
Chilton County,"$149,160.00",$860.00
Choctaw County,"$121,280.00",$700.00
Clarke County,"$137,120.00",$790.00
Clay County,"$156,970.00",$900.00
Cleburne County,"$156,430.00",$900.00
Coffee County,"$195,590.00","$1,120.00"
Colbert County,"$176,890.00","$1,020.00"
Conecuh County,"$109,890.00",$630.00
Coosa County,"$121,280.00",$700.00
Covington County,"$154,580.00",$890.00
Crenshaw County,"$117,590.00",$680.00
Cullman County,"$221,300.00","$1,270.00"
Dale County,"$140,050.00",$800.00
Dallas County,"$105,660.00",$610.00
DeKalb County,"$170,090.00",$980.00
Elmore County,"$251,050.00","$1,440.00"
Escambia County,"$133,100.00",$770.00
Etowah County,"$200,290.00","$1,150.00"
Fayette County,"$131,480.00",$760.00
Franklin County,"$138,850.00",$800.00
Geneva County,"$124,750.00",$720.00
Greene County,"$92,450.00",$530.00
Hale County,"$135,150.00",$780.00
Henry County,"$153,400.00",$880.00
Houston County,"$194,190.00","$1,120.00"
Jackson County,"$158,160.00",$910.00
Jefferson County,"$261,000.00","$1,500.00"
Lamar County,"$122,260.00",$700.00
Lauderdale County,"$231,740.00","$1,330.00"
Lawrence County,"$157,180.00",$900.00
Lee County,"$306,310.00","$1,760.00"
Limestone County,"$311,960.00","$1,790.00"
Lowndes County,"$88,020.00",$510.00
Macon County,"$103,810.00",$600.00
Madison County,"$337,240.00","$1,940.00"
Marengo County,"$112,170.00",$640.00
Marion County,"$113,140.00",$650.00
Marshall County,"$215,870.00","$1,240.00"
Mobile County,"$204,850.00","$1,180.00"
Monroe County,"$124,640.00",$720.00
Montgomery County,"$186,410.00","$1,070.00"
Morgan County,"$231,550.00","$1,330.00"
Perry County,"$95,140.00",$550.00
Pickens County,"$133,750.00",$770.00
Pike County,"$161,630.00",$930.00
Randolph County,"$199,600.00","$1,150.00"
Russell County,"$167,070.00",$960.00
St. Clair County,"$234,170.00","$1,350.00"
Shelby County,"$342,340.00","$1,970.00"
Sumter County,"$91,230.00",$520.00
Talladega County,"$167,490.00",$960.00
Tallapoosa County,"$157,080.00",$900.00
Tuscaloosa County,"$265,590.00","$1,530.00"
Walker County,"$137,420.00",$790.00
Washington County,"$165,760.00",$950.00
Wilcox County,"$91,340.00",$530.00
Winston County,"$119,870.00",$690.00
Borough,"$156,960.00",$900.00
Area,"$455,880.00","$2,620.00"
Municipality,"$406,900.00","$2,340.00"
Area,"$131,180.00",$750.00
Borough,"$293,480.00","$1,690.00"
Borough,"$284,990.00","$1,640.00"
Area,"$178,170.00","$1,020.00"
Borough,"$310,870.00","$1,790.00"
Borough,"$346,890.00","$1,990.00"
City and Borough,"$470,460.00","$2,700.00"
Borough,"$323,610.00","$1,860.00"
Borough,"$412,260.00","$2,370.00"
Borough,"$416,290.00","$2,390.00"
Borough,"$180,680.00","$1,040.00"
Borough,"$359,870.00","$2,070.00"
Area,"$218,640.00","$1,260.00"
Borough,"$238,870.00","$1,370.00"
Borough,"$176,760.00","$1,020.00"
City and Borough,"$480,900.00","$2,760.00"
Area,"$285,860.00","$1,640.00"
City and Borough,"$201,240.00","$1,160.00"
Area,"$95,510.00",$550.00
Apache County,"$55,060.00",$320.00
Cochise County,"$245,740.00","$1,410.00"
Coconino County,"$488,990.00","$2,810.00"
Gila County,"$258,070.00","$1,480.00"
Graham County,"$211,780.00","$1,220.00"
Greenlee County,"$142,410.00",$820.00
La Paz County,"$122,870.00",$710.00
Maricopa County,"$483,420.00","$2,780.00"
Mohave County,"$302,620.00","$1,740.00"
Navajo County,"$252,220.00","$1,450.00"
Pima County,"$345,580.00","$1,990.00"
Pinal County,"$382,240.00","$2,200.00"
Santa Cruz County,"$225,780.00","$1,300.00"
Yavapai County,"$465,810.00","$2,680.00"
Yuma County,"$258,180.00","$1,480.00"
Arkansas County,"$139,000.00",$800.00
