County,Percent Owner-Occupied,Percent Renter-Occupied
"Baldwin County, Alabama",77.9,22.1
"Calhoun County, Alabama",86.5,13.5
"Cullman County, Alabama",89.2,10.8
"DeKalb County, Alabama",87.2,12.8
"Elmore County, Alabama",89.7,10.3
"Etowah County, Alabama",83.8,16.2
"Houston County, Alabama",88.7,11.3
"Jefferson County, Alabama",87.2,12.8
"Lauderdale County, Alabama",91.3,8.7
"Lee County, Alabama",91.3,8.7
"Limestone County, Alabama",96.1,3.9
"Madison County, Alabama",92.8,7.2
"Marshall County, Alabama",86.4,13.6
"Mobile County, Alabama",87.8,12.2
"Montgomery County, Alabama",87.1,12.9
"Morgan County, Alabama",91.9,8.1
"St. Clair County, Alabama",88.5,11.5
"Shelby County, Alabama",94.7,5.3
"Talladega County, Alabama",87.8,12.2
"Tuscaloosa County, Alabama",88.9,11.1
"Anchorage Municipality, Alaska",90.2,9.8
"Fairbanks North Star Borough, Alaska",87.9,12.1
"Matanuska-Susitna Borough, Alaska",77.8,22.2
"Apache County, Arizona",82.3,17.7
"Cochise County, Arizona",84.6,15.4
"Coconino County, Arizona",80.2,19.8
"Maricopa County, Arizona",91.6,8.4
"Mohave County, Arizona",80.4,19.6
"Navajo County, Arizona",72.2,27.8
"Pima County, Arizona",92.0,8.0
"Pinal County, Arizona",88.8,11.2
"Yavapai County, Arizona",88.5,11.5
"Yuma County, Arizona",86.8,13.2
"Benton County, Arkansas",92.2,7.8
"Craighead County, Arkansas",94.4,5.6
"Faulkner County, Arkansas",92.9,7.1
"Garland County, Arkansas",85.4,14.6
"Jefferson County, Arkansas",77.8,22.2
"Lonoke County, Arkansas",94.2,5.8
"Pulaski County, Arkansas",86.9,13.1
"Saline County, Arkansas",94.7,5.3
"Sebastian County, Arkansas",89.2,10.8
"Washington County, Arkansas",92.5,7.5
"White County, Arkansas",89.9,10.1
"Alameda County, California",94.2,5.8
"Butte County, California",91.9,8.1
"Contra Costa County, California",96.3,3.7
"El Dorado County, California",81.6,18.4
"Fresno County, California",94.5,5.5
"Humboldt County, California",88.7,11.3
"Imperial County, California",85.1,14.9
"Kern County, California",93.6,6.4
"Kings County, California",93.3,6.7
"Lake County, California",75.9,24.1
"Los Angeles County, California",93.9,6.1
