Geographic Area Name,Total housing units,Occupied housing units,Rental vacancy rate,Total housing units,Owner-occupied,Median (dollars),Median (dollars),2023
"Baldwin County, Alabama",135673,105698,7.9,135673,79134,307000,1286,2023
"Calhoun County, Alabama",53543,46310,1.7,53543,31834,160900,782,2023
"Cullman County, Alabama",40322,35961,2.4,40322,28432,204000,788,2023
"DeKalb County, Alabama",31166,27182,1.2,31166,22303,156800,659,2023
"Elmore County, Alabama",37557,33692,2.3,37557,25594,229900,933,2023
"Etowah County, Alabama",47786,40027,4.1,47786,29847,188200,760,2023
"Houston County, Alabama",50624,44880,6.0,50624,27794,187100,957,2023
"Jefferson County, Alabama",312529,272648,6.4,312529,171002,249000,1164,2023
"Lauderdale County, Alabama",45116,41199,8.6,45116,27670,211700,745,2023
"Lee County, Alabama",81890,74799,4.7,81890,47427,280900,979,2023
"Limestone County, Alabama",45268,43490,4.7,45268,33561,292500,999,2023
"Madison County, Alabama",182177,168996,7.8,182177,116256,316200,1263,2023
"Marshall County, Alabama",41997,36274,9.3,41997,27186,199000,724,2023
"Mobile County, Alabama",186757,163963,4.5,186757,109510,191600,1022,2023
"Montgomery County, Alabama",106531,92816,5.4,106531,53334,170700,1023,2023
"Morgan County, Alabama",54128,49759,2.1,54128,35986,222000,870,2023
"St. Clair County, Alabama",39932,35354,8.3,39932,30395,223400,1027,2023
"Shelby County, Alabama",93211,88270,0.9,93211,72903,326600,1363,2023
"Talladega County, Alabama",38801,34080,2.1,38801,25034,154400,728,2023
"Tuscaloosa County, Alabama",105659,93966,5.2,105659,58586,248200,975,2023
"Anchorage Municipality, Alaska",120956,109125,7.3,120956,68761,385900,1474,2023
"Fairbanks North Star Borough, Alaska",42692,37510,7.9,42692,23918,285700,1503,2023
"Matanuska-Susitna Borough, Alaska",51218,39870,2.3,51218,30991,341300,1195,2023
"Apache County, Arizona",29186,24010,7.4,29186,18749,52700,607,2023
"Cochise County, Arizona",60172,50919,11.2,60172,35283,235200,988,2023
"Coconino County, Arizona",71047,56954,4.8,71047,34174,470900,1579,2023
"Maricopa County, Arizona",1913863,1753589,7.8,1913863,1147475,468700,1766,2023
"Mohave County, Arizona",122876,98791,6.0,122876,74113,293800,1077,2023
"Navajo County, Arizona",58078,41945,2.4,58078,30162,241400,869,2023
"Pima County, Arizona",484385,445471,5.6,484385,292307,337800,1263,2023
"Pinal County, Arizona",189795,168479,10.6,189795,138215,370600,1520,2023
"Yavapai County, Arizona",128616,113784,4.7,128616,86364,454200,1442,2023
"Yuma County, Arizona",96567,83811,2.4,96567,59183,246900,1055,2023
"Benton County, Arkansas",127369,117446,4.1,127369,76471,367400,1365,2023
"Craighead County, Arkansas",49935,47150,5.3,49935,26857,189700,968,2023
"Faulkner County, Arkansas",54836,50963,5.8,54836,33182,238700,1000,2023
"Garland County, Arkansas",53004,45243,6.3,53004,30319,220900,944,2023
"Jefferson County, Arkansas",30712,23885,6.4,30712,14419,92000,904,2023
"Lonoke County, Arkansas",31183,29388,N,31183,23435,189300,1065,2023
"Pulaski County, Arkansas",194736,169230,12.6,194736,99235,222500,1060,2023
"Saline County, Arkansas",53524,50684,1.0,53524,38561,235500,965,2023
"Sebastian County, Arkansas",57862,51596,6.0,57862,31301,191500,885,2023
"Washington County, Arkansas",107704,99630,3.3,107704,54653,325700,1112,2023
"White County, Arkansas",34406,30920,8.6,34406,22998,175100,780,2023
"Alameda County, California",646309,608534,6.1,646309,328166,1067800,2303,2023
"Butte County, California",93864,86279,2.2,93864,48755,420500,1434,2023
"Contra Costa County, California",432056,416172,3.0,432056,285285,829600,2314,2023
"El Dorado County, California",95459,77904,2.3,95459,59619,691600,1761,2023
"Fresno County, California",347917,328895,3.1,347917,191496,395500,1410,2023
"Humboldt County, California",63280,56130,2.0,63280,30673,468000,1246,2023
"Imperial County, California",58804,50024,3.5,58804,28111,331900,1022,2023
"Kern County, California",309632,289845,3.6,309632,173197,346600,1286,2023
"Kings County, California",47430,44262,4.9,47430,24291,348800,1220,2023
"Lake County, California",34385,26092,8.0,34385,19900,336700,1544,2023
"Los Angeles County, California",3675444,3450470,3.9,3675444,1567302,828700,1896,2023
"Madera County, California",51776,46781,1.6,51776,30755,398500,1477,2023
"Marin County, California",112359,101608,6.5,112359,66696,1512200,2614,2023
"Mendocino County, California",41848,34951,3.5,41848,21550,510400,1439,2023
"Merced County, California",92342,88053,1.3,92342,46291,409000,1294,2023
"Monterey County, California",146355,132170,2.2,146355,70057,759100,2004,2023
"Napa County, California",56046,51167,5.4,56046,32068,831800,2239,2023
"Nevada County, California",54548,42712,0.5,54548,31428,647200,1782,2023
"Orange County, California",1153448,1092528,4.7,1153448,622600,961400,2382,2023
"Placer County, California",182757,160315,5.0,182757,117474,673900,2009,2023
"Riverside County, California",877776,791757,4.4,877776,547302,576000,1871,2023
"Sacramento County, California",603629,573170,5.5,603629,344969,533900,1762,2023
"San Benito County, California",21699,20194,2.5,21699,13926,761600,1985,2023
"San Bernardino County, California",749701,682807,3.6,749701,428535,515500,1831,2023
"San Diego County, California",1261999,1181259,4.3,1261999,643311,864900,2296,2023
"San Francisco County, California",418143,372027,5.5,418143,138176,1348000,2356,2023
"San Joaquin County, California",265161,251091,3.3,265161,158580,531500,1655,2023
