location_name,location_type,state,month,vacancy_rate
"Ada County, ID",County,Idaho,2025-01-01,0.0658179587203551
"Ada County, ID",County,Idaho,2025-02-01,0.0672373369803201
"Ada County, ID",County,Idaho,2025-03-01,0.0711134753593823
"Adams County, CO",County,Colorado,2025-01-01,0.0869912485815092
"Adams County, CO",County,Colorado,2025-02-01,0.0891046932288777
"Adams County, CO",County,Colorado,2025-03-01,0.0913657444376059
Alabama,State,Alabama,2025-01-01,0.0957167650202608
Alabama,State,Alabama,2025-02-01,0.0967277460316484
Alabama,State,Alabama,2025-03-01,0.0978896356815263
"Alameda County, CA",County,California,2025-01-01,0.0599830341179361
"Alameda County, CA",County,California,2025-02-01,0.0582509733275513
"Alameda County, CA",County,California,2025-03-01,0.0573079580268347
"Albany-Schenectady-Troy, NY",Metro,New York,2025-01-01,0.0494455347415113
"Albany-Schenectady-Troy, NY",Metro,New York,2025-02-01,0.0486256348060356
"Albany-Schenectady-Troy, NY",Metro,New York,2025-03-01,0.0462117266340521
"Albuquerque, NM",Metro,New Mexico,2025-01-01,0.0600431644903376
"Albuquerque, NM",City,New Mexico,2025-01-01,0.0599705777349047
"Albuquerque, NM",Metro,New Mexico,2025-02-01,0.0633988650246012
"Albuquerque, NM",City,New Mexico,2025-02-01,0.0634608494620564
"Albuquerque, NM",Metro,New Mexico,2025-03-01,0.0663805099749987
"Albuquerque, NM",City,New Mexico,2025-03-01,0.0665256310921998
"Alexandria, VA",City,Virginia,2025-01-01,0.0570357972654005
"Alexandria, VA",City,Virginia,2025-02-01,0.0565822385856483
"Alexandria, VA",City,Virginia,2025-03-01,0.0568423588234034
"Allegheny County, PA",County,Pennsylvania,2025-01-01,0.0605948062625409
"Allegheny County, PA",County,Pennsylvania,2025-02-01,0.062784831878671
"Allegheny County, PA",County,Pennsylvania,2025-03-01,0.0653099856345604
"Allentown-Bethlehem-Easton, PA-NJ",Metro,Pennsylvania,2025-01-01,0.042360668232941
"Allentown-Bethlehem-Easton, PA-NJ",Metro,Pennsylvania,2025-02-01,0.0428142555522646
"Allentown-Bethlehem-Easton, PA-NJ",Metro,Pennsylvania,2025-03-01,0.0435760998714286
"Anaheim, CA",City,California,2025-01-01,0.0715159791178381
"Anaheim, CA",City,California,2025-02-01,0.067060845644728
"Anaheim, CA",City,California,2025-03-01,0.0645363619938343
"Anne Arundel County, MD",County,Maryland,2025-01-01,0.0594089876792779
"Anne Arundel County, MD",County,Maryland,2025-02-01,0.0602699095362703
"Anne Arundel County, MD",County,Maryland,2025-03-01,0.0608198330834877
"Anoka County, MN",County,Minnesota,2025-01-01,0.0578425266171727
"Anoka County, MN",County,Minnesota,2025-02-01,0.0572890881177138
"Anoka County, MN",County,Minnesota,2025-03-01,0.056289320338448
"Arapahoe County, CO",County,Colorado,2025-01-01,0.077065538578446
"Arapahoe County, CO",County,Colorado,2025-02-01,0.0776324259956729
"Arapahoe County, CO",County,Colorado,2025-03-01,0.0794888074200428
Arizona,State,Arizona,2025-01-01,0.0772763481541066
Arizona,State,Arizona,2025-02-01,0.0778119588703259
Arizona,State,Arizona,2025-03-01,0.0784123560019636
Arkansas,State,Arkansas,2025-01-01,0.0589383538536417
Arkansas,State,Arkansas,2025-02-01,0.059044259595604
Arkansas,State,Arkansas,2025-03-01,0.0603327174407421
"Arlington County, VA",County,Virginia,2025-01-01,0.0470521026607837
